2013-11-24 11:18:14 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:19 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:20 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:20 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:20 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:20 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:20 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:20 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:20 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:20 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:20 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:20 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:20 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:20 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:20 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:20 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:20 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:20 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:20 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:20 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:20 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:18:20 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:19:09 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:19:09 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:19:09 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:19:09 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:19:09 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:19:09 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:19:09 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:19:10 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:19:10 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:19:10 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:19:10 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:19:10 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:19:10 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:19:10 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:19:10 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:19:10 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:19:10 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:19:10 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:19:10 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:19:10 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
2013-11-24 11:19:10 Notice: Notice (8): Undefined variable: isUserAuthorized in [/Users/sandeepankundu/Sites/cakephp13/myapp/controllers/app_controller.php, line 32]
